Function Name,Function Pointer Declaration,Function Template
GetClipboardText,const char *(*GetClipboardText)(void),<const char*(void)>
EnableEventWaiting,void (*EnableEventWaiting)(void),<void(void)>
DisableEventWaiting,void (*DisableEventWaiting)(void),<void(void)>
SwapScreenBuffer,void (*SwapScreenBuffer)(void),<void(void)>
PollInputEvents,void (*PollInputEvents)(void),<void(void)>
WaitTime,void (*WaitTime)(double seconds),<void(double)>
ShowCursor,void (*ShowCursor)(void),<void(void)>
HideCursor,void (*HideCursor)(void),<void(void)>
IsCursorHidden,bool (*IsCursorHidden)(void),<bool(void)>
EnableCursor,void (*EnableCursor)(void),<void(void)>
DisableCursor,void (*DisableCursor)(void),<void(void)>
IsCursorOnScreen,bool (*IsCursorOnScreen)(void),<bool(void)>
ClearBackground,void (*ClearBackground)(Color color),<void(Color)>
BeginDrawing,void (*BeginDrawing)(void),<void(void)>
EndDrawing,void (*EndDrawing)(void),<void(void)>
BeginMode2D,void (*BeginMode2D)(Camera2D camera),<void(Camera2D)>
EndMode2D,void (*EndMode2D)(void),<void(void)>
BeginMode3D,void (*BeginMode3D)(Camera3D camera),<void(Camera3D)>
EndMode3D,void (*EndMode3D)(void),<void(void)>
BeginTextureMode,void (*BeginTextureMode)(RenderTexture2D target),<void(RenderTexture2D)>
EndTextureMode,void (*EndTextureMode)(void),<void(void)>
BeginShaderMode,void (*BeginShaderMode)(Shader shader),<void(Shader)>
EndShaderMode,void (*EndShaderMode)(void),<void(void)>
BeginBlendMode,void (*BeginBlendMode)(int mode),<void(int)>
EndBlendMode,void (*EndBlendMode)(void),<void(void)>
BeginScissorMode,"void (*BeginScissorMode)(int x, int y, int width, int height)","<void(int, int, int, int)>"
EndScissorMode,void (*EndScissorMode)(void),<void(void)>
BeginVrStereoMode,void (*BeginVrStereoMode)(VrStereoConfig config),<void(VrStereoConfig)>
EndVrStereoMode,void (*EndVrStereoMode)(void),<void(void)>
LoadVrStereoConfig,VrStereoConfig (*LoadVrStereoConfig)(VrDeviceInfo device),<VrStereoConfig(VrDeviceInfo)>
UnloadVrStereoConfig,void (*UnloadVrStereoConfig)(VrStereoConfig config),<void(VrStereoConfig)>
LoadShader,"Shader (*LoadShader)(const char *vsFileName, const char *fsFileName)","<Shader(const char*, const char*)>"
LoadShaderFromMemory,"Shader (*LoadShaderFromMemory)(const char *vsCode, const char *fsCode)","<Shader(const char*, const char*)>"
IsShaderReady,bool (*IsShaderReady)(Shader shader),<bool(Shader)>
GetShaderLocation,"int (*GetShaderLocation)(Shader shader, const char *uniformName)","<int(Shader, const char*)>"
GetShaderLocationAttrib,"int (*GetShaderLocationAttrib)(Shader shader, const char *attribName)","<int(Shader, const char*)>"
SetShaderValue,"void (*SetShaderValue)(Shader shader, int locIndex, const void *value, int uniformType)","<void(Shader, int, const void*, int)>"
SetShaderValueV,"void (*SetShaderValueV)(Shader shader, int locIndex, const void *value, int uniformType, int count)","<void(Shader, int, const void*, int, int)>"
SetShaderValueMatrix,"void (*SetShaderValueMatrix)(Shader shader, int locIndex, Matrix mat)","<void(Shader, int, Matrix)>"
SetShaderValueTexture,"void (*SetShaderValueTexture)(Shader shader, int locIndex, Texture2D texture)","<void(Shader, int, Texture2D)>"
UnloadShader,void (*UnloadShader)(Shader shader),<void(Shader)>
GetMouseRay,"Ray (*GetMouseRay)(Vector2 mousePosition, Camera camera)","<Ray(Vector2, Camera)>"
GetCameraMatrix,Matrix (*GetCameraMatrix)(Camera camera),<Matrix(Camera)>
GetCameraMatrix2D,Matrix (*GetCameraMatrix2D)(Camera2D camera),<Matrix(Camera2D)>
GetWorldToScreen,"Vector2 (*GetWorldToScreen)(Vector3 position, Camera camera)","<Vector2(Vector3, Camera)>"
GetScreenToWorld2D,"Vector2 (*GetScreenToWorld2D)(Vector2 position, Camera2D camera)","<Vector2(Vector2, Camera2D)>"
GetWorldToScreenEx,"Vector2 (*GetWorldToScreenEx)(Vector3 position, Camera camera, int width, int height)","<Vector2(Vector3, Camera, int, int)>"
GetWorldToScreen2D,"Vector2 (*GetWorldToScreen2D)(Vector2 position, Camera2D camera)","<Vector2(Vector2, Camera2D)>"
SetTargetFPS,void (*SetTargetFPS)(int fps),<void(int)>
GetFPS,int (*GetFPS)(void),<int(void)>
GetFrameTime,float (*GetFrameTime)(void),<float(void)>
GetTime,double (*GetTime)(void),<double(void)>
GetRandomValue,"int (*GetRandomValue)(int min, int max)","<int(int, int)>"
SetRandomSeed,void (*SetRandomSeed)(unsigned int seed),<void(unsigned int)>
TakeScreenshot,void (*TakeScreenshot)(const char *fileName),<void(const char*)>
SetConfigFlags,void (*SetConfigFlags)(unsigned int flags),<void(unsigned int)>
TraceLog,"void (*TraceLog)(int logLevel, const char *text, ...)","<void(int, const char*, ...)>"
SetTraceLogLevel,void (*SetTraceLogLevel)(int logLevel),<void(int)>
MemAlloc,void* (*MemAlloc)(unsigned int size),<void*(unsigned int)>
MemRealloc,"void* (*MemRealloc)(void *ptr, unsigned int size)","<void*(void*, unsigned int)>"
MemFree,void (*MemFree)(void *ptr),<void(void*)>
OpenURL,void (*OpenURL)(const char *url),<void(const char*)>
SetTraceLogCallback,void (*SetTraceLogCallback)(TraceLogCallback callback),<void(TraceLogCallback)>
SetLoadFileDataCallback,void (*SetLoadFileDataCallback)(LoadFileDataCallback callback),<void(LoadFileDataCallback)>
SetSaveFileDataCallback,void (*SetSaveFileDataCallback)(SaveFileDataCallback callback),<void(SaveFileDataCallback)>
SetLoadFileTextCallback,void (*SetLoadFileTextCallback)(LoadFileTextCallback callback),<void(LoadFileTextCallback)>
SetSaveFileTextCallback,void (*SetSaveFileTextCallback)(SaveFileTextCallback callback),<void(SaveFileTextCallback)
LoadFileData,"unsigned char *(*LoadFileData)(const char *fileName, unsigned int *bytesRead)","<unsigned char*(const char*, unsigned int*)>"
UnloadFileData,void (*UnloadFileData)(unsigned char *data),<void(unsigned char*)>
SaveFileData,"bool (*SaveFileData)(const char *fileName, void *data, unsigned int bytesToWrite)","<bool(const char*, void*, unsigned int)>"
ExportDataAsCode,"bool (*ExportDataAsCode)(const unsigned char *data, unsigned int size, const char *fileName)","<bool(const unsigned char*, unsigned int, const char*)>"
LoadFileText,char *(*LoadFileText)(const char *fileName),<char*(const char*)>
UnloadFileText,void (*UnloadFileText)(char *text),<void(char*)>
SaveFileText,"bool (*SaveFileText)(const char *fileName, char *text)","<bool(const char*, char*)>"
FileExists,bool (*FileExists)(const char *fileName),<bool(const char*)>
DirectoryExists,bool (*DirectoryExists)(const char *dirPath),<bool(const char*)>
IsFileExtension,"bool (*IsFileExtension)(const char *fileName, const char *ext)","<bool(const char*, const char*)>"
GetFileLength,int (*GetFileLength)(const char *fileName),<int(const char*)>
GetFileExtension,const char *(*GetFileExtension)(const char *fileName),<const char*(const char*)>
GetFileName,const char *(*GetFileName)(const char *filePath),<const char*(const char*)>
GetFileNameWithoutExt,const char *(*GetFileNameWithoutExt)(const char *filePath),<const char*(const char*)>
GetDirectoryPath,const char *(*GetDirectoryPath)(const char *filePath),<const char*(const char*)>
GetPrevDirectoryPath,const char *(*GetPrevDirectoryPath)(const char *dirPath),<const char*(const char*)>
GetWorkingDirectory,const char *(*GetWorkingDirectory)(void),<const char*(void)>
GetApplicationDirectory,const char *(*GetApplicationDirectory)(void),<const char*(void)>
ChangeDirectory,bool (*ChangeDirectory)(const char *dir),<bool(const char*)>
IsPathFile,bool (*IsPathFile)(const char *path),<bool(const char*)>
LoadDirectoryFiles,FilePathList (*LoadDirectoryFiles)(const char *dirPath),<FilePathList(const char*)>
LoadDirectoryFilesEx,"FilePathList (*LoadDirectoryFilesEx)(const char *basePath, const char *filter, bool scanSubdirs)","<FilePathList(const char*, const char*, bool)>"
UnloadDirectoryFiles,void (*UnloadDirectoryFiles)(FilePathList files),<void(FilePathList)>
IsFileDropped,bool (*IsFileDropped)(void),<bool(void)>
LoadDroppedFiles,FilePathList (*LoadDroppedFiles)(void),<FilePathList(void)>
UnloadDroppedFiles,void (*UnloadDroppedFiles)(FilePathList files),<void(FilePathList)>
GetFileModTime,long (*GetFileModTime)(const char *fileName),<long(const char*)>
CompressData,"unsigned char *(*CompressData)(const unsigned char *data, int dataSize, int *compDataSize)","<unsigned char*(const unsigned char*, int, int*)>"
DecompressData,"unsigned char *(*DecompressData)(const unsigned char *compData, int compDataSize, int *dataSize)","<unsigned char*(const unsigned char*, int, int*)>"
EncodeDataBase64,"char *(*EncodeDataBase64)(const unsigned char *data, int dataSize, int *outputSize)","<char*(const unsigned char*, int, int*)>"
DecodeDataBase64,"unsigned char *(*DecodeDataBase64)(const unsigned char *data, int *outputSize)","<unsigned char*(const unsigned char*, int*)>"
IsKeyPressed,bool (*IsKeyPressed)(int key),<bool(int)>
IsKeyDown,bool (*IsKeyDown)(int key),<bool(int)>
IsKeyReleased,bool (*IsKeyReleased)(int key),<bool(int)>
IsKeyUp,bool (*IsKeyUp)(int key),<bool(int)>
SetExitKey,void (*SetExitKey)(int key),<void(int)>
GetKeyPressed,int (*GetKeyPressed)(void),<int(void)>
GetCharPressed,int (*GetCharPressed)(void),<int(void)>
IsGamepadAvailable,bool (*IsGamepadAvailable)(int gamepad),<bool(int)>
GetGamepadName,const char *(*GetGamepadName)(int gamepad),<const char*(int)>
IsGamepadButtonPressed,"bool (*IsGamepadButtonPressed)(int gamepad, int button)","<bool(int, int)>"
IsGamepadButtonDown,"bool (*IsGamepadButtonDown)(int gamepad, int button)","<bool(int, int)>"
IsGamepadButtonReleased,"bool (*IsGamepadButtonReleased)(int gamepad, int button)","<bool(int, int)>"
IsGamepadButtonUp,"bool (*IsGamepadButtonUp)(int gamepad, int button)","<bool(int, int)>"
GetGamepadButtonPressed,int (*GetGamepadButtonPressed)(void),<int(void)>
GetGamepadAxisCount,int (*GetGamepadAxisCount)(int gamepad),<int(int)>
GetGamepadAxisMovement,"float (*GetGamepadAxisMovement)(int gamepad, int axis)","<float(int, int)>"
SetGamepadMappings,int (*SetGamepadMappings)(const char *mappings),<int(const char*)>
IsMouseButtonPressed,bool (*IsMouseButtonPressed)(int button),<bool(int)>
IsMouseButtonDown,bool (*IsMouseButtonDown)(int button),<bool(int)>
IsMouseButtonReleased,bool (*IsMouseButtonReleased)(int button),<bool(int)>
IsMouseButtonUp,bool (*IsMouseButtonUp)(int button),<bool(int)>
GetMouseX,int (*GetMouseX)(void),<int(void)>
GetMouseY,int (*GetMouseY)(void),<int(void)>
GetMousePosition,Vector2 (*GetMousePosition)(void),<Vector2(void)>
GetMouseDelta,Vector2 (*GetMouseDelta)(void),<Vector2(void)>
SetMousePosition,"void (*SetMousePosition)(int x, int y)","<void(int, int)>"
SetMouseOffset,"void (*SetMouseOffset)(int offsetX, int offsetY)","<void(int, int)>"
SetMouseScale,"void (*SetMouseScale)(float scaleX, float scaleY)","<void(float, float)>"
GetMouseWheelMove,float (*GetMouseWheelMove)(void),<float(void)>
GetMouseWheelMoveV,Vector2 (*GetMouseWheelMoveV)(void),<Vector2(void)>
SetMouseCursor,void (*SetMouseCursor)(int cursor),<void(int)>
GetTouchX,int (*GetTouchX)(void),<int(void)>
GetTouchY,int (*GetTouchY)(void),<int(void)>
GetTouchPosition,Vector2 (*GetTouchPosition)(int index),<Vector2(int)>
GetTouchPointId,int (*GetTouchPointId)(int index),<int(int)>
GetTouchPointCount,int (*GetTouchPointCount)(void),<int(void)>
SetGesturesEnabled,void (*SetGesturesEnabled)(unsigned int flags),<void(unsigned int)>
IsGestureDetected,bool (*IsGestureDetected)(int gesture),<bool(int)>
GetGestureDetected,int (*GetGestureDetected)(void),<int(void)>
GetGestureHoldDuration,float (*GetGestureHoldDuration)(void),<float(void)>
GetGestureDragVector,Vector2 (*GetGestureDragVector)(void),<Vector2(void)>
GetGestureDragAngle,float (*GetGestureDragAngle)(void),<float(void)>
GetGesturePinchVector,Vector2 (*GetGesturePinchVector)(void),<Vector2(void)>
GetGesturePinchAngle,float (*GetGesturePinchAngle)(void),<float(void)>
UpdateCamera,"void (*UpdateCamera)(Camera *camera, int mode)","<void(Camera*, int)>"
UpdateCameraPro,"void (*UpdateCameraPro)(Camera *camera, Vector3 movement, Vector3 rotation, float zoom)","<void(Camera*, Vector3, Vector3, float)>"
SetShapesTexture,"void (*SetShapesTexture)(Texture2D texture, Rectangle source)","<void(Texture2D, Rectangle)>"
DrawPixel,"void (*DrawPixel)(int posX, int posY, Color color)","<void(int, int, Color)>"
DrawPixelV,"void (*DrawPixelV)(Vector2 position, Color color)","<void(Vector2, Color)>"
DrawLine,"void (*DrawLine)(int startPosX, int startPosY, int endPosX, int endPosY, Color color)","<void(int, int, int, int, Color)>"
DrawLineV,"void (*DrawLineV)(Vector2 startPos, Vector2 endPos, Color color)","<void(Vector2, Vector2, Color)>"
DrawLineEx,"void (*DrawLineEx)(Vector2 startPos, Vector2 endPos, float thick, Color color)","<void(Vector2, Vector2, float, Color)>"
DrawLineBezier,"void (*DrawLineBezier)(Vector2 startPos, Vector2 endPos, float thick, Color color)","<void(Vector2, Vector2, float, Color)>"
DrawLineBezierQuad,"void (*DrawLineBezierQuad)(Vector2 startPos, Vector2 endPos, Vector2 controlPos, float thick, Color color)","<void(Vector2, Vector2, Vector2, float, Color)>"
DrawLineBezierCubic,"void (*DrawLineBezierCubic)(Vector2 startPos, Vector2 endPos, Vector2 startControlPos, Vector2 endControlPos, float thick, Color color)","<void(Vector2, Vector2, Vector2, Vector2, float, Color)>"
DrawLineStrip,"void (*DrawLineStrip)(Vector2 *points, int pointCount, Color color)","<void(Vector2*, int, Color)>"
DrawCircle,"void (*DrawCircle)(int centerX, int centerY, float radius, Color color)","<void(int, int, float, Color)>"
DrawCircleSector,"void (*DrawCircleSector)(Vector2 center, float radius, float startAngle, float endAngle, int segments, Color color)","<void(Vector2, float, float, float, int, Color)>"
DrawCircleSectorLines,"void (*DrawCircleSectorLines)(Vector2 center, float radius, float startAngle, float endAngle, int segments, Color color)","<void(Vector2, float, float, float, int, Color)>"
DrawCircleGradient,"void (*DrawCircleGradient)(int centerX, int centerY, float radius, Color color1, Color color2)","<void(int, int, float, Color, Color)>"
DrawCircleV,"void (*DrawCircleV)(Vector2 center, float radius, Color color)","<void(Vector2, float, Color)>"
DrawCircleLines,"void (*DrawCircleLines)(int centerX, int centerY, float radius, Color color)","<void(int, int, float, Color)>"
DrawEllipse,"void (*DrawEllipse)(int centerX, int centerY, float radiusH, float radiusV, Color color)","<void(int, int, float, float, Color)>"
DrawEllipseLines,"void (*DrawEllipseLines)(int centerX, int centerY, float radiusH, float radiusV, Color color)","<void(int, int, float, float, Color)>"
DrawRing,"void (*DrawRing)(Vector2 center, float innerRadius, float outerRadius, float startAngle, float endAngle, int segments, Color color)","<void(Vector2, float, float, float, float, int, Color)>"
DrawRingLines,"void (*DrawRingLines)(Vector2 center, float innerRadius, float outerRadius, float startAngle, float endAngle, int segments, Color color)","<void(Vector2, float, float, float, float, int, Color)>"
DrawRectangle,"void (*DrawRectangle)(int posX, int posY, int width, int height, Color color)","<void(int, int, int, int, Color)>"
DrawRectangleV,"void (*DrawRectangleV)(Vector2 position, Vector2 size, Color color)","<void(Vector2, Vector2, Color)>"
DrawRectangleRec,"void (*DrawRectangleRec)(Rectangle rec, Color color)","<void(Rectangle, Color)>"
DrawRectanglePro,"void (*DrawRectanglePro)(Rectangle rec, Vector2 origin, float rotation, Color color)","<void(Rectangle, Vector2, float, Color)>"
DrawRectangleGradientV,"void (*DrawRectangleGradientV)(int posX, int posY, int width, int height, Color color1, Color color2)","<void(int, int, int, int, Color, Color)>"
DrawRectangleGradientH,"void (*DrawRectangleGradientH)(int posX, int posY, int width, int height, Color color1, Color color2)","<void(int, int, int, int, Color, Color)>"
DrawRectangleGradientEx,"void (*DrawRectangleGradientEx)(Rectangle rec, Color col1, Color col2, Color col3, Color col4)","<void(Rectangle, Color, Color, Color, Color)>"
DrawRectangleLines,"void (*DrawRectangleLines)(int posX, int posY, int width, int height, Color color)","<void(int, int, int, int, Color)>"
DrawRectangleLinesEx,"void (*DrawRectangleLinesEx)(Rectangle rec, float lineThick, Color color)","<void(Rectangle, float, Color)>"
DrawRectangleRounded,"void (*DrawRectangleRounded)(Rectangle rec, float roundness, int segments, Color color)","<void(Rectangle, float, int, Color)>"
DrawRectangleRoundedLines,"void (*DrawRectangleRoundedLines)(Rectangle rec, float roundness, int segments, float lineThick, Color color)","<void(Rectangle, float, int, float, Color)>"
DrawTriangle,"void (*DrawTriangle)(Vector2 v1, Vector2 v2, Vector2 v3, Color color)","<void(Vector2, Vector2, Vector2, Color)>"
DrawTriangleLines,"void (*DrawTriangleLines)(Vector2 v1, Vector2 v2, Vector2 v3, Color color)","<void(Vector2, Vector2, Vector2, Color)>"
DrawTriangleFan,"void (*DrawTriangleFan)(Vector2 *points, int pointCount, Color color)","<void(Vector2*, int, Color)>"
DrawTriangleStrip,"void (*DrawTriangleStrip)(Vector2 *points, int pointCount, Color color)","<void(Vector2*, int, Color)>"
DrawPoly,"void (*DrawPoly)(Vector2 center, int sides, float radius, float rotation, Color color)","<void(Vector2, int, float, float, Color)>"
DrawPolyLines,"void (*DrawPolyLines)(Vector2 center, int sides, float radius, float rotation, Color color)","<void(Vector2, int, float, float, Color)>"
DrawPolyLinesEx,"void (*DrawPolyLinesEx)(Vector2 center, int sides, float radius, float rotation, float lineThick, Color color)","<void(Vector2, int, float, float, float, Color)>"
CheckCollisionRecs,"bool (*CheckCollisionRecs)(Rectangle rec1, Rectangle rec2)","<bool(Rectangle, Rectangle)>"
CheckCollisionCircles,"bool (*CheckCollisionCircles)(Vector2 center1, float radius1, Vector2 center2, float radius2)","<bool(Vector2, float, Vector2, float)>"
CheckCollisionCircleRec,"bool (*CheckCollisionCircleRec)(Vector2 center, float radius, Rectangle rec)","<bool(Vector2, float, Rectangle)>"
CheckCollisionPointRec,"bool (*CheckCollisionPointRec)(Vector2 point, Rectangle rec)","<bool(Vector2, Rectangle)>"
CheckCollisionPointCircle,"bool (*CheckCollisionPointCircle)(Vector2 point, Vector2 center, float radius)","<bool(Vector2, Vector2, float)>"
CheckCollisionPointTriangle,"bool (*CheckCollisionPointTriangle)(Vector2 point, Vector2 p1, Vector2 p2, Vector2 p3)","<bool(Vector2, Vector2, Vector2, Vector2)>"
CheckCollisionPointPoly,"bool (*CheckCollisionPointPoly)(Vector2 point, Vector2 *points, int pointCount)","<bool(Vector2, Vector2*, int)>"
CheckCollisionLines,"bool (*CheckCollisionLines)(Vector2 startPos1, Vector2 endPos1, Vector2 startPos2, Vector2 endPos2, Vector2 *collisionPoint)","<bool(Vector2, Vector2, Vector2, Vector2, Vector2*)>"
CheckCollisionPointLine,"bool (*CheckCollisionPointLine)(Vector2 point, Vector2 p1, Vector2 p2, int threshold)","<bool(Vector2, Vector2, Vector2, int)>"
GetCollisionRec,"Rectangle (*GetCollisionRec)(Rectangle rec1, Rectangle rec2)","<Rectangle(Rectangle, Rectangle)>"
LoadImage,Image (*LoadImage)(const char *fileName),<Image(const char*)>
LoadImageRaw,"Image (*LoadImageRaw)(const char *fileName, int width, int height, int format, int headerSize)","<Image(const char*, int, int, int, int)>"
LoadImageAnim,"Image (*LoadImageAnim)(const char *fileName, int *frames)","<Image(const char*, int*)>"
LoadImageFromMemory,"Image (*LoadImageFromMemory)(const char *fileType, const unsigned char *fileData, int dataSize)","<Image(const char*, const unsigned char*, int)>"
LoadImageFromTexture,Image (*LoadImageFromTexture)(Texture2D texture),<Image(Texture2D)>
LoadImageFromScreen,Image (*LoadImageFromScreen)(void),<Image()>
IsImageReady,bool (*IsImageReady)(Image image),<bool(Image)>
UnloadImage,void (*UnloadImage)(Image image),<void(Image)>
ExportImage,"bool (*ExportImage)(Image image, const char *fileName)","<bool(Image, const char*)>"
ExportImageAsCode,"bool (*ExportImageAsCode)(Image image, const char *fileName)","<bool(Image, const char*)>"
GenImageColor,"Image (*GenImageColor)(int width, int height, Color color)","<Image(int, int, Color)>"
GenImageGradientV,"Image (*GenImageGradientV)(int width, int height, Color top, Color bottom)","<Image(int, int, Color, Color)>"
GenImageGradientH,"Image (*GenImageGradientH)(int width, int height, Color left, Color right)","<Image(int, int, Color, Color)>"
GenImageGradientRadial,"Image (*GenImageGradientRadial)(int width, int height, float density, Color inner, Color outer)","<Image(int, int, float, Color, Color)>"
GenImageChecked,"Image (*GenImageChecked)(int width, int height, int checksX, int checksY, Color col1, Color col2)","<Image(int, int, int, int, Color, Color)>"
GenImageWhiteNoise,"Image (*GenImageWhiteNoise)(int width, int height, float factor)","<Image(int, int, float)>"
GenImagePerlinNoise,"Image (*GenImagePerlinNoise)(int width, int height, int offsetX, int offsetY, float scale)","<Image(int, int, int, int, float)>"
GenImageCellular,"Image (*GenImageCellular)(int width, int height, int tileSize)","<Image(int, int, int)>"
GenImageText,"Image (*GenImageText)(int width, int height, const char *text)","<Image(int, int, const char*)>"
ImageCopy,Image (*ImageCopy)(Image image),<Image(Image)>
ImageFromImage,"Image (*ImageFromImage)(Image image, Rectangle rec)","<Image(Image, Rectangle)>"
ImageText,"Image (*ImageText)(const char *text, int fontSize, Color color)","<Image(const char*, int, Color)>"
ImageTextEx,"Image (*ImageTextEx)(Font font, const char *text, float fontSize, float spacing, Color tint)","<Image(Font, const char*, float, float, Color)>"
ImageFormat,"void (*ImageFormat)(Image *image, int newFormat)","<void(Image*, int)>"
ImageToPOT,"void (*ImageToPOT)(Image *image, Color fill)","<void(Image*, Color)>"
ImageCrop,"void (*ImageCrop)(Image *image, Rectangle crop)","<void(Image*, Rectangle)>"
ImageAlphaCrop,"void (*ImageAlphaCrop)(Image *image, float threshold)","<void(Image*, float)>"
ImageAlphaClear,"void (*ImageAlphaClear)(Image *image, Color color, float threshold)","<void(Image*, Color, float)>"
ImageAlphaMask,"void (*ImageAlphaMask)(Image *image, Image alphaMask)","<void(Image*, Image)>"
ImageAlphaPremultiply,void (*ImageAlphaPremultiply)(Image *image),<void(Image*)>
ImageBlurGaussian,"void (*ImageBlurGaussian)(Image *image, int blurSize)","<void(Image*, int)>"
ImageResize,"void (*ImageResize)(Image *image, int newWidth, int newHeight)","<void(Image*, int, int)>"
ImageResizeNN,"void (*ImageResizeNN)(Image *image, int newWidth, int newHeight)","<void(Image*, int, int)>"
ImageResizeCanvas,"void (*ImageResizeCanvas)(Image *image, int newWidth, int newHeight, int offsetX, int offsetY, Color fill)","<void(Image*, int, int, int, int, Color)>"
ImageMipmaps,void (*ImageMipmaps)(Image *image),<void(Image*)>
ImageDither,"void (*ImageDither)(Image *image, int rBpp, int gBpp, int bBpp, int aBpp)","<void(Image*, int, int, int, int)>"
ImageFlipVertical,void (*ImageFlipVertical)(Image *image),<void(Image*)>
ImageFlipHorizontal,void (*ImageFlipHorizontal)(Image *image),<void(Image*)>
ImageRotateCW,void (*ImageRotateCW)(Image *image),<void(Image*)>
ImageRotateCCW,void (*ImageRotateCCW)(Image *image),<void(Image*)>
ImageColorTint,"void (*ImageColorTint)(Image *image, Color color)","<void(Image*, Color)>"
ImageColorInvert,void (*ImageColorInvert)(Image *image),<void(Image*)>
ImageColorGrayscale,void (*ImageColorGrayscale)(Image *image),<void(Image*)>
ImageColorContrast,"void (*ImageColorContrast)(Image *image, float contrast)","<void(Image*, float)>"
ImageColorBrightness,"void (*ImageColorBrightness)(Image *image, int brightness)","<void(Image*, int)>"
ImageColorReplace,"void (*ImageColorReplace)(Image *image, Color color, Color replace)","<void(Image*, Color, Color)>"
LoadImageColors,Color (_LoadImageColors)(Image image),<Color*(Image)>
LoadImagePalette,"Color (_LoadImagePalette)(Image image, int maxPaletteSize, int *colorCount)","<Color*(Image, int, int*)>"
UnloadImageColors,void (*UnloadImageColors)(Color *colors),<void(Color*)>
UnloadImagePalette,void (*UnloadImagePalette)(Color *colors),<void(Color*)>
GetImageAlphaBorder,"Rectangle (*GetImageAlphaBorder)(Image image, float threshold)","<Rectangle(Image, float)>"
GetImageColor,"Color (*GetImageColor)(Image image, int x, int y)","<Color(Image, int, int)>"
ImageClearBackground,"void (*ImageClearBackground)(Image *dst, Color color)","<void(Image*, Color)>"
ImageDrawPixel,"void (*ImageDrawPixel)(Image *dst, int posX, int posY, Color color)","<void(Image*, int, int, Color)>"
ImageDrawPixelV,"void (*ImageDrawPixelV)(Image *dst, Vector2 position, Color color)","<void(Image*, Vector2, Color)>"
ImageDrawLine,"void (*ImageDrawLine)(Image *dst, int startPosX, int startPosY, int endPosX, int endPosY, Color color)","<void(Image*, int, int, int, int, Color)>"
ImageDrawLineV,"void (*ImageDrawLineV)(Image *dst, Vector2 start, Vector2 end, Color color)","<void(Image*, Vector2, Vector2, Color)>"
